id,duration,credit_amount,installment_commitment,residence_since,age,existing_credits,num_dependents,checking_status,employment,savings_status,sex,other_parties,own_telephone,foreign_worker,class,credit_history_all paid,credit_history_critical/other existing credit,credit_history_delayed previously,credit_history_existing paid,credit_history_no credits/all paid,purpose_business,purpose_domestic appliance,purpose_education,purpose_furniture/equipment,purpose_new car,purpose_other,purpose_radio/tv,purpose_repairs,purpose_retraining,purpose_used car,status_matrimonial_div/dep/mar,status_matrimonial_div/sep,status_matrimonial_mar/wid,status_matrimonial_single,property_magnitude_car,property_magnitude_life insurance,property_magnitude_no known property,property_magnitude_real estate,other_payment_plans_bank,other_payment_plans_none,other_payment_plans_stores,housing_for free,housing_own,housing_rent,job_high qualif/self emp/mgmt,job_skilled,job_unemp/unskilled non res,job_unskilled resident
30,0.6225183767618884,2.010778490263764,-1.7545665154113295,-0.727126845410718,-0.43722907989821785,-0.6989175161258463,-0.43240987172119044,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
536,1.9882491020209352,1.0317101484515645,0.017445973874828477,-0.727126845410718,-0.6410781787884688,1.0758337480365707,-0.43240987172119044,1,2,1,1,2,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0
696,-1.3122668173550947,-0.1327562410654986,-0.8685602707682505,-0.727126845410718,0.07239366732740961,-0.6989175161258463,-0.43240987172119044,2,2,1,1,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0
558,-0.06034698586763503,-0.8376854471702824,0.9034522185179075,1.1094173360707047,0.17431821677253512,-0.6989175161258463,2.3126206532231537,2,4,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0
837,-0.06034698586763503,-0.456057106276676,0.9034522185179075,-0.727126845410718,-1.0487763765689708,1.0758337480365707,-0.43240987172119044,0,2,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0
597,-0.7432123484971584,-0.907261793162894,0.9034522185179075,1.1094173360707047,1.805111007894543,2.8505850121989877,-0.43240987172119044,0,4,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0
166,-0.7432123484971584,-0.9451746523564728,0.9034522185179075,1.1094173360707047,-1.0487763765689708,-0.6989175161258463,-0.43240987172119044,1,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1
919,-0.40177966718239677,0.18679500070895125,0.9034522185179075,-0.727126845410718,-0.6410781787884688,-0.6989175161258463,-0.43240987172119044,0,2,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
496,-1.1984559235835075,-0.7210304958054246,0.017445973874828477,1.1094173360707047,1.7031864584494174,1.0758337480365707,2.3126206532231537,1,4,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0
825,-0.7432123484971584,-0.2564938144775085,0.9034522185179075,1.1094173360707047,0.2762427662176606,-0.6989175161258463,-0.43240987172119044,0,2,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
