index,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,sex,status_matrimonial,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
942,0,18,critical,devices,1169,none,4,4,male,single,none,3,life insurance,29,none,own,2,skilled,1,yes,yes,good
202,0,9,existing paid,accessory,1980,little,0,2,female,other,co applicant,2,car,19,none,rent,2,skilled,1,none,yes,bad
141,100,12,existing paid,accessory,3017,little,0,3,female,other,none,1,real estate,34,none,rent,1,high qualif,1,none,yes,good
66,0,24,existing paid,car,915,none,8,4,female,other,none,2,car,29,bank,own,1,skilled,1,none,yes,bad
370,100,14,existing paid,business,1410,rich,8,1,male,widow,none,2,real estate,35,none,own,1,skilled,1,yes,yes,good
438,0,24,existing paid,car,1249,little,0,4,male,widow,none,2,real estate,28,none,own,1,skilled,1,none,yes,good
939,0,15,critical,devices,1829,little,8,4,male,single,none,4,car,46,none,own,2,skilled,1,yes,yes,good
675,0,24,critical,car,2197,none,7,4,male,single,none,4,car,43,none,own,2,skilled,2,yes,yes,good
710,0,9,existing paid,car,654,little,4,4,male,single,none,3,car,28,none,own,1,unskilled,1,none,yes,bad
738,0,6,existing paid,car,1203,moderate,8,3,male,single,none,2,life insurance,43,none,own,1,skilled,1,yes,yes,good
651,0,12,critical,devices,2331,none,8,1,male,single,co applicant,4,real estate,49,none,own,1,skilled,1,yes,yes,good
909,0,18,existing paid,accessory,3422,little,8,4,male,single,none,4,life insurance,47,bank,own,3,skilled,2,yes,yes,good
845,100,60,existing paid,car,14027,little,7,4,male,single,none,2,no known property,27,none,own,1,high qualif,1,yes,yes,bad
456,0,36,existing paid,education,9055,none,4,2,male,single,none,4,no known property,35,none,for free,1,unskilled,2,yes,yes,good
799,0,15,existing paid,education,4623,moderate,4,3,male,single,none,2,life insurance,40,none,own,1,high qualif,1,yes,yes,bad
491,100,48,no credits/all paid,business,14421,little,4,2,male,single,none,2,car,25,none,own,1,skilled,1,yes,yes,bad
146,100,12,critical,devices,3573,little,4,1,female,other,none,1,real estate,23,none,own,1,unskilled,1,none,yes,good
852,0,24,existing paid,devices,1987,little,4,2,male,single,none,4,real estate,21,none,rent,1,unskilled,2,none,yes,bad
474,0,48,critical,education,6110,little,4,1,male,single,none,3,no known property,31,bank,for free,1,skilled,1,yes,yes,good
606,100,15,existing paid,devices,802,little,8,4,male,single,none,3,car,37,none,own,1,skilled,2,none,yes,bad
290,0,18,critical,accessory,1049,little,0,4,female,other,none,4,life insurance,21,none,rent,1,skilled,1,none,yes,good
671,100,39,delayed previously,education,11760,moderate,7,2,male,single,none,3,no known property,32,none,rent,1,skilled,1,yes,yes,good
887,0,18,existing paid,car,7511,none,8,1,male,single,none,4,life insurance,51,none,for free,1,skilled,2,yes,yes,bad
489,100,15,critical,devices,1537,none,8,4,male,single,guarantor,4,real estate,50,none,own,2,skilled,1,yes,yes,good
548,0,6,existing paid,accessory,2978,rich,4,1,male,single,none,2,car,32,none,own,1,skilled,1,yes,yes,good
395,0,18,existing paid,devices,1473,little,0,3,male,widow,none,4,real estate,39,none,own,1,skilled,1,yes,yes,good
408,0,24,existing paid,devices,1413,little,4,4,male,widow,none,2,life insurance,28,none,own,1,skilled,1,none,yes,good
414,0,24,existing paid,retraining,937,little,0,4,male,widow,none,3,car,27,none,own,2,unskilled,1,none,yes,good
681,100,12,existing paid,car,2028,none,4,4,male,single,none,2,car,30,none,own,1,skilled,1,none,yes,good
41,0,12,critical,devices,1240,none,8,4,female,other,none,2,real estate,38,none,own,2,skilled,1,yes,yes,good
155,0,36,critical,accessory,7127,little,0,2,female,other,none,4,life insurance,23,none,rent,2,skilled,1,yes,yes,bad
306,300,21,existing paid,car,2923,moderate,4,1,female,other,none,1,car,28,bank,own,1,high qualif,1,yes,yes,good
291,100,9,existing paid,devices,1670,little,0,4,female,other,none,2,car,22,none,own,1,skilled,1,yes,yes,bad
251,100,12,existing paid,car,836,moderate,0,4,female,other,none,2,life insurance,23,bank,own,1,unskilled,1,none,yes,bad
762,100,36,existing paid,car,12389,none,4,1,male,single,none,4,no known property,37,none,for free,1,skilled,1,yes,yes,bad
862,0,15,existing paid,car,3029,little,7,2,male,single,none,2,car,33,none,own,1,skilled,1,none,yes,good
645,0,6,delayed previously,business,1743,moderate,4,1,male,single,none,2,real estate,34,none,own,2,unskilled,1,none,yes,good
288,0,18,critical,accessory,1817,little,4,4,female,other,none,2,no known property,28,none,own,2,skilled,1,none,yes,good
516,100,24,critical,other,11938,little,4,2,male,single,co applicant,3,car,39,none,own,2,high qualif,2,yes,yes,bad
